NODE_ID,NODE_TYPE,NODE_NAME,UPDATEDATE,lon,lat,gid,avg_speed
3850123700,101,대우아파트사거리,20230519,128.8659709,35.24130634,마라24ab94bb,
3850124000,102,풍성한침레교회,20230519,128.9169803,35.24136932,마라28bb94bb,
3850124100,101,해강하이츠빌라,20230519,128.7734779,35.24138107,마라15bb94ba,
3850125100,101,김해산성교회앞교차로,20230519,128.9138874,35.2422373,마라28ba95aa,
3850125200,101,우암초교사거리,20230519,128.8672508,35.24226353,마라24ab94bb,
3850130300,101,구지공원앞교차로,20230519,128.8718997,35.24553207,마라24bb95ab,15.09248555
3850130600,101,신어중사거리,20230519,128.9120358,35.24565007,마라28ab95ab,28
3850132500,101,삼방제일성결교회,20230519,128.9112971,35.24748743,마라28ab95ba,37
3850132600,101,우암기계,20230519,128.7738743,35.2477919,마라15bb95ab,19
3850134000,101,충절교,20230519,128.9063858,35.24913255,마라27bb95bb,33
3850134300,101,금계삼계탕앞교차로,20230519,128.8712318,35.24924036,마라24bb95ba,17.87283237
3850138600,104,삼방교,20230519,128.9031386,35.25358557,마라27ba96ab,24.21965318
3850139800,101,덕암교차로,20230519,128.8197408,35.25569742,마라20aa96ab,38.70708092
3850140601,101,담안리1477-4,20230519,128.7695065,35.25861138,마라15ab96ba,
3850140900,101,지구촌교회앞교차로,20230519,128.8690503,35.25671619,마라24ba96ba,
3850144200,101,찬양교회앞교차로,20230519,128.8660627,35.25920821,마라24ab96bb,4
3850148700,101,블루시티캐슬,20230519,128.8739695,35.26155974,마라24bb97aa,
3850151000,101,바이핸즈,20230519,128.873838,35.26257615,마라24bb97aa,
3850152800,101,카페바스켓,20230519,128.8732971,35.26358529,마라24bb97ab,
3850153100,101,삼계성당입구교차로,20230519,128.8747105,35.26369622,마라25aa97ab,
3850154800,101,분성고교앞교차로,20230519,128.8745277,35.26471765,마라25aa97ab,
3850155000,101,조은금강병원사거리,20230519,128.8640881,35.26478226,마라24aa97ab,
3850157900,101,분성동원로얄듀크앞교차로,20230519,128.8651378,35.26862379,마라24aa97bb,
3850158400,101,여여정사김해교포원,20230519,128.8638368,35.26944797,마라24aa97bb,
3850160900,102,대감리1182-3,20230519,128.993787,35.27553527,마라35bb98bb,13.53034682
3850161100,102,소감교,20230519,128.9948095,35.27562424,마라35bb98bb,10.26517341
3850162100,104,모촌교,20230519,128.7699496,35.27908533,마라15ab98bb,13
3850164200,101,영동공업앞교차로,20230519,128.7723484,35.28640662,마라15ba99ba,
3850166600,102,그린필드종합건설,20230519,128.8147952,35.29539475,마마19ba00bb,17
