충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량,LAT,LON
김해서부경찰서,경상남도 김해시 장유면 계동로 175 ,근린생활시설,경찰서,ME21B1A2,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:01,2023-10-30 10:18,2023-10-30 10:58,,61,1563.32,29,747.26,93,2663.44,150,4146.71,145,3914.12,116,3369.81,135,3765.61,148,4636.61,86,2812.92,35.190021869884,128.797287528166
금봉졸음쉼터,경상남도 김해시 진영읍 본산리 121-84 ,휴게시설,쉼터,ME21B223,1,DC콤보,급속(100kW단독),단독,통신이상,2023-10-04 22:50,2023-10-04 19:07,2023-10-04 19:47,,1,1.3,1,2.01,0,0.0,7,89.26,16,277.41,34,722.91,36,932.63,63,1515.27,46,1323.48,35.3147335997497,128.761873677321
금봉졸음쉼터,경상남도 김해시 진영읍 본산리 121-84 ,휴게시설,쉼터,ME21B223,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-29 13:33,2023-10-29 14:13,,22,508.48,16,284.17,0,0.0,27,625.66,5,81.19,31,709.18,39,1003.2,57,1148.94,30,526.94,35.3147335997497,128.761873677321
진영(순천) 휴게소,경남 김해시 진영읍 우동리 295,휴게시설,고속도로 휴게소,ME21D001,1,DC차데모+AC3상+DC콤보,급속(100kW멀티),단독,사용가능,2023-10-30 14:50,2023-10-30 14:10,2023-10-30 14:20,,87,1304.18,64,1106.2,93,1331.22,108,1557.1,104,1688.88,118,1924.18,128,2301.67,160,2669.4,122,2325.33,35.2798480367698,128.715770838427
진례초등학교,경상남도 김해시 송현로 74-12 ,교육문화시설,학교,ME21E101,91,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:42,2023-10-30 9:10,2023-10-30 9:38,,14,389.78,13,271.0,2,37.95,10,256.29,16,539.97,13,492.72,13,506.74,3,37.18,16,505.41,35.2471819787346,128.756079863126
영광주유소,경상남도 김해시 김해대로 1705 ,상업시설,주유소,ME22C130,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:41,2023-10-30 13:07,2023-10-30 13:09,,0,0.0,0,0.0,0,0.0,0,0.0,3,8.2,0,0.0,0,0.0,0,0.0,0,0.0,35.2702137932483,128.855855334304
무계동 스마트제2주차장,경상남도 김해시 무계동 341-1 ,주차시설,공영주차장,ME22C175,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:48,,,,0,0.0,0,0.0,0,0.0,0,0.0,4,12.2,0,0.0,0,0.0,0,0.0,4,10.48,35.1984031018795,128.812740203942
무계동 스마트제1주차장,경상남도 김해시 무계동 325 ,주차시설,공영주차장,ME22C1I1,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:48,2023-10-28 9:00,2023-10-28 9:13,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,35.1979195209035,128.814328104089
장유도서관,경상남도 김해시 대청로176번길 7 ,근린생활시설,도서관,ME22C1I6,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-29 21:02,2023-10-29 21:30,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,4.02,0,0.0,0,0.0,35.1913540310428,128.7970325409
유하공원공영주차장,경상남도 김해시 무계동 169-1 ,주차시설,공영주차장,ME22C1I8,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-29 1:30,2023-10-29 1:48,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.75,0,0.0,0,0.0,0,0.0,35.2056570598981,128.809137170196
지내동공단 공영주차장,경상남도 김해시 지내동 195-20 ,주차시설,공영주차장,ME22C225,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:53,2023-10-30 10:09,2023-10-30 10:49,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.98,0,0.0,0,0.0,2,1.54,35.2263821340937,128.92239597782
지내동공단 공영주차장,경상남도 김해시 지내동 195-20 ,주차시설,공영주차장,ME22C225,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:02,2023-10-30 11:45,2023-10-30 11:59,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,6.29,0,0.0,0,0.0,2,2.71,35.2263821340937,128.92239597782
김해문화의전당,경상남도 김해시 내동 1131 ,교육문화시설,공연장,ME22C229,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:47,2023-10-30 11:23,2023-10-30 11:44,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.68,0,0.0,0,0.0,0,0.0,35.2436563284991,128.869899594716
김해문화의전당,경상남도 김해시 내동 1131 ,교육문화시설,공연장,ME22C229,2,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:37,2023-10-30 10:23,2023-10-30 11:04,,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.49,0,0.0,0,0.0,0,0.0,35.2436563284991,128.869899594716
