gid,건물1,건물2,건물3,관공서,주차장,경제인구,전기차,차량속도,입지총점,예측_일평균이용수,총점순위
마라11aa97ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11aa97bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11aa98aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11aa98ab,0.0,0.0,0.0,0.0,0.0,0.0046111281893636644,0.0,0.0,-0.0006064772533935987,3.254480507572564,73.0
마라11aa98ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13410404625,-0.01180598011747359,3.056487806668868,445.0
마라11aa98bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11aa99aa,0.16556291390728478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01517035315262004,1.202700344628916,565.0
마라11aa99ab,0.019867549668874173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018204423783144046,2.235757445615273,118.0
마라11aa99ba,0.2980132450331126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02730663567471607,1.2648083160226018,913.0
마라11aa99bb,0.046357615894039736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042476988827336104,2.011401784288219,208.0
마라11ab91ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab91ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab91bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab92aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab92ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab92ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab92bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab93aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab93ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab93ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab93bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab94aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab94ab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab94ba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab94bb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
마라11ab95aa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1130760722045023,62.0
