gid,lon,lat
마라12bb96ba,128.7408496000,35.2587167300
마라12bb96bb,128.7408839000,35.2609704600
마라12bb97aa,128.7409183000,35.2632242000
마라12bb97ab,128.7409526000,35.2654779300
마라12bb97ba,128.7409870000,35.2677316600
마라12bb97bb,128.7410214000,35.2699853900
마라12bb98aa,128.7410558000,35.2722391200
마라12bb98ab,128.7410902000,35.2744928500
마라12bb98ba,128.7411245000,35.2767465700
마라12bb98bb,128.7411589000,35.2790003000
마라12bb99aa,128.7411933000,35.2812540300
마라12bb99ab,128.7412277000,35.2835077500
마라12bb99ba,128.7412621000,35.2857614700
마라12bb99bb,128.7412965000,35.2880152000
마라13aa86ab,128.7421887000,35.1662848000
마라13aa86ba,128.7422230000,35.1685385700
마라13aa86bb,128.7422573000,35.1707923300
마라13aa87aa,128.7422916000,35.1730461000
마라13aa87ab,128.7423259000,35.1752998600
마라13aa87ba,128.7423602000,35.1775536200
마라13aa87bb,128.7423945000,35.1798073900
마라13aa88aa,128.7424288000,35.1820611500
마라13aa88ab,128.7424631000,35.1843149100
마라13aa90ba,128.7427720000,35.2045987100
마라13aa90bb,128.7428063000,35.2068524700
마라13aa91aa,128.7428407000,35.2091062200
마라13aa91ab,128.7428750000,35.2113599700
마라13aa91ba,128.7429094000,35.2136137200
마라13aa91bb,128.7429437000,35.2158674700
마라13aa92aa,128.7429781000,35.2181212100
마라13aa92ab,128.7430125000,35.2203749600
마라13aa92ba,128.7430468000,35.2226287100
마라13aa92bb,128.7430812000,35.2248824500
마라13aa93aa,128.7431156000,35.2271361900
마라13aa93ab,128.7431500000,35.2293899400
마라13aa93ba,128.7431843000,35.2316436800
마라13aa93bb,128.7432187000,35.2338974200
마라13aa94aa,128.7432531000,35.2361511600
마라13aa94ab,128.7432875000,35.2384049000
마라13aa94ba,128.7433219000,35.2406586400
마라13aa94bb,128.7433563000,35.2429123800
마라13aa95aa,128.7433907000,35.2451661200
마라13aa95ab,128.7434251000,35.2474198500
마라13aa95ba,128.7434596000,35.2496735900
마라13aa95bb,128.7434940000,35.2519273200
마라13aa96aa,128.7435284000,35.2541810600
마라13aa96ab,128.7435628000,35.2564347900
마라13aa96ba,128.7435973000,35.2586885200
마라13aa96bb,128.7436317000,35.2609422500
마라13aa97aa,128.7436661000,35.2631959800
마라13aa97ab,128.7437006000,35.2654497100
마라13aa97ba,128.7437350000,35.2677034400
마라13aa97bb,128.7437695000,35.2699571700
마라13aa98aa,128.7438039000,35.2722108900
마라13aa98ab,128.7438384000,35.2744646200
마라13aa98ba,128.7438729000,35.2767183400
마라13aa98bb,128.7439073000,35.2789720700
마라13aa99aa,128.7439418000,35.2812257900
마라13aa99ab,128.7439763000,35.2834795100
마라13aa99ba,128.7440107000,35.2857332300
마라13aa99bb,128.7440452000,35.2879869500
마라13ab86ab,128.7449333000,35.1662566200
마라13ab86ba,128.7449677000,35.1685103900
마라13ab86bb,128.7450020000,35.1707641500
마라13ab87aa,128.7450364000,35.1730179100
마라13ab87ab,128.7450708000,35.1752716700
마라13ab87ba,128.7451051000,35.1775254300
마라13ab87bb,128.7451395000,35.1797791900
마라13ab88aa,128.7451739000,35.1820329500
마라13ab88ab,128.7452083000,35.1842867100
마라13ab88ba,128.7452426000,35.1865404700
마라13ab88bb,128.7452770000,35.1887942300
마라13ab89aa,128.7453114000,35.1910479800
마라13ab90ab,128.7454834000,35.2023167500
마라13ab90ba,128.7455179000,35.2045705000
마라13ab90bb,128.7455523000,35.2068242500
마라13ab91aa,128.7455867000,35.2090780000
마라13ab91ab,128.7456211000,35.2113317400
마라13ab91ba,128.7456556000,35.2135854900
마라13ab91bb,128.7456900000,35.2158392400
마라13ab92aa,128.7457244000,35.2180929800
마라13ab92ab,128.7457589000,35.2203467300
마라13ab92ba,128.7457933000,35.2226004700
마라13ab92bb,128.7458278000,35.2248542100
마라13ab93aa,128.7458622000,35.2271079500
마라13ab93ab,128.7458967000,35.2293616900
마라13ab93ba,128.7459311000,35.2316154300
마라13ab93bb,128.7459656000,35.2338691700
마라13ab94aa,128.7460001000,35.2361229100
마라13ab94ab,128.7460345000,35.2383766500
마라13ab94ba,128.7460690000,35.2406303900
마라13ab94bb,128.7461035000,35.2428841200
마라13ab95aa,128.7461380000,35.2451378600
마라13ab95ab,128.7461725000,35.2473915900
마라13ab95ba,128.7462070000,35.2496453200
마라13ab95bb,128.7462415000,35.2518990500
마라13ab96aa,128.7462760000,35.2541527900
마라13ab96ab,128.7463105000,35.2564065200
마라13ab96ba,128.7463450000,35.2586602500
마라13ab96bb,128.7463795000,35.2609139700
마라13ab97aa,128.7464140000,35.2631677000
마라13ab97ab,128.7464485000,35.2654214300
마라13ab97ba,128.7464830000,35.2676751600
마라13ab97bb,128.7465176000,35.2699288800
마라13ab98aa,128.7465521000,35.2721826000
마라13ab98ab,128.7465866000,35.2744363300
마라13ab98ba,128.7466212000,35.2766900500
마라13ab98bb,128.7466557000,35.2789437700
마라13ab99aa,128.7466902000,35.2811974900
마라13ab99ab,128.7467248000,35.2834512100
마라13ab99ba,128.7467594000,35.2857049300
마라13ab99bb,128.7467939000,35.2879586500
마라13ba86ab,128.7476779000,35.1662283800
마라13ba86ba,128.7477123000,35.1684821400
마라13ba86bb,128.7477468000,35.1707359000
마라13ba87aa,128.7477812000,35.1729896600
마라13ba87ab,128.7478156000,35.1752434200
마라13ba87ba,128.7478501000,35.1774971800
마라13ba87bb,128.7478845000,35.1797509400
마라13ba88aa,128.7479190000,35.1820047000
마라13ba88ab,128.7479534000,35.1842584500
마라13ba88ba,128.7479879000,35.1865122100
마라13ba88bb,128.7480224000,35.1887659600
마라13ba89aa,128.7480568000,35.1910197200
마라13ba89ab,128.7480913000,35.1932734700
마라13ba90ab,128.7482292000,35.2022884700
마라13ba90ba,128.7482637000,35.2045422200
마라13ba90bb,128.7482982000,35.2067959600
마라13ba91aa,128.7483327000,35.2090497100
마라13ba91ab,128.7483672000,35.2113034600
마라13ba91ba,128.7484017000,35.2135572000
마라13ba91bb,128.7484362000,35.2158109400
마라13ba92aa,128.7484708000,35.2180646900
마라13ba92ab,128.7485053000,35.2203184300
마라13ba92ba,128.7485398000,35.2225721700
마라13ba92bb,128.7485743000,35.2248259100
마라13ba93aa,128.7486089000,35.2270796500
마라13ba93ab,128.7486434000,35.2293333900
마라13ba93ba,128.7486779000,35.2315871300
마라13ba93bb,128.7487125000,35.2338408600
마라13ba94aa,128.7487470000,35.2360946000
마라13ba94ab,128.7487816000,35.2383483300
마라13ba94ba,128.7488161000,35.2406020700
마라13ba94bb,128.7488507000,35.2428558000
마라13ba95aa,128.7488852000,35.2451095300
마라13ba95ab,128.7489198000,35.2473632600
마라13ba95ba,128.7489544000,35.2496170000
마라13ba95bb,128.7489889000,35.2518707300
마라13ba96aa,128.7490235000,35.2541244500
마라13ba96ab,128.7490581000,35.2563781800
마라13ba96ba,128.7490927000,35.2586319100
마라13ba96bb,128.7491273000,35.2608856400
마라13ba97aa,128.7491618000,35.2631393600
마라13ba97ab,128.7491964000,35.2653930900
마라13ba97ba,128.7492310000,35.2676468100
마라13ba97bb,128.7492656000,35.2699005300
마라13ba98aa,128.7493002000,35.2721542500
마라13ba98ab,128.7493349000,35.2744079800
마라13ba98ba,128.7493695000,35.2766617000
마라13ba98bb,128.7494041000,35.2789154200
마라13ba99aa,128.7494387000,35.2811691300
