gid,주차장,경도,위도,건물1,건물2,건물3,관공서,경제인구,전기차,충전소,차량속도,입지총점,총점순위
마라18ab89ba,0.0,128.8002909,35.19497826,0.12582781456953643,0.24,0.0,0.0,0.29849369812480786,0.0,-0.0,-0.0,0.6643215126943443,247
마라23bb98ab,0.0,128.8620089,35.27319178,0.052980132450331126,0.24,0.0,0.0,0.47802028896403315,0.0,-0.0,-0.10833333333333334,0.6626670880810308,248
마라19bb87aa,0.0,128.8164003,35.17226328,0.052980132450331126,0.4,0.0,0.0,0.5376575468798033,0.0,-0.0,-0.3333333333333333,0.6573043459968011,249
마라19bb89ab,0.0,128.8167275,35.19254654,0.033112582781456956,0.28,0.0,0.0,0.33415308945588684,0.0,-0.0,-0.0,0.6472656722373438,250
마라13ba95ab,0.0,128.7489198,35.24736326,0.1986754966887417,0.04,0.0,0.375,0.03197048877958807,0.0,-0.0,-0.0,0.6456459854683297,251
마마12ab02bb,0.0,128.7362104,35.31511616,0.0,0.4,0.0,0.0,0.2400860743928681,0.0,-0.0,-0.0,0.6400860743928681,252
마라19ab90aa,0.0,128.8113454,35.19936721,0.052980132450331126,0.28,0.0,0.0,0.30433446049800184,0.0,-0.0,-0.0,0.637314592948333,253
마라18ba89bb,0.0,128.8030724,35.19720244,0.013245033112582781,0.44,0.0,0.375,0.36458653550568704,0.0,-0.0,-0.5566233140833333,0.6362082545349365,254
마라20aa86bb,0.0,128.8191086,35.16997972,0.019867549668874173,0.24,0.0,0.375,0.24807869658776513,0.0,-0.0,-0.24683285166666666,0.6361133945899726,255
마라28ab95aa,0.0,128.9109655,35.24332819,0.10596026490066225,0.12,0.0,0.375,0.14202274823240085,0.0,-0.0,-0.11512524083333332,0.6278577722997297,256
마마11aa01ba,0.0,128.7222928,35.30398729,0.10596026490066225,0.28,0.0,0.0,0.24070089148478327,0.0,-0.0,-0.0,0.6266611563854455,257
마라24bb96aa,0.0,128.872659,35.25278499,0.0728476821192053,0.48,0.0,0.0,0.32984936981248075,0.0,-0.0,-0.2571652215833333,0.6255318303483528,258
마마10ba01bb,0.0,128.716828,35.30629648,0.17218543046357615,0.24,0.0,0.0,0.21334153089455885,0.0,-0.0,-0.0,0.625526961358135,259
마라27ba93ba,0.0,128.9024916,35.22990244,0.25165562913907286,0.16,0.0,0.0,0.3387642176452505,0.0,-0.0,-0.125,0.6254198467843233,260
마라18ba90ba,0.0,128.8031804,35.20396355,0.09933774834437085,0.4,0.0,0.0,0.3409160774669534,0.0,-0.0,-0.21666666666666667,0.6235871591446577,261
