gid,건물1,건물2,건물3,관공서,주차장,경제인구,전기차,충전소,차량속도,lon,lat
마마22aa01ba,8,0,0,0,,6.0,0,0,,128.8432563,35.30270407
마마22aa01bb,0,0,0,0,,,0,0,,128.8432936,35.30495769
마마22aa02aa,0,0,0,0,,,0,0,,128.8433308,35.30721132
마마22aa02ab,0,0,0,0,,,0,0,,128.8433681,35.30946494
마마22aa02ba,0,0,0,0,,,0,0,,128.8434054,35.31171856
마마22aa02bb,0,0,0,0,,,0,0,,128.8434426,35.31397219
마마22aa03aa,0,0,0,0,,,0,0,,128.8434799,35.31622581
마마22aa03ab,0,0,0,0,,,0,0,,128.8435172,35.31847943
마마22aa03ba,18,0,0,0,,,0,0,,128.8435545,35.32073305
마마22aa03bb,6,0,0,0,,8.0,0,0,,128.8435918,35.32298667
마마22aa04aa,0,0,0,0,,0.0,0,0,,128.843629,35.32524029
마마22aa04ab,0,0,0,0,,,0,0,,128.8436663,35.3274939
마마22aa04ba,0,0,0,0,,,0,0,,128.8437036,35.32974752
마마22aa04bb,0,0,0,0,,,0,0,,128.8437409,35.33200113
마마22aa05aa,12,0,0,0,,0.0,0,0,,128.8437783,35.33425475
마마22aa05ab,0,0,0,0,,,0,0,,128.8438156,35.33650836
마마22aa05ba,8,0,0,0,,,0,0,,128.8438529,35.33876197
마마22aa05bb,2,0,0,0,,0.0,0,0,,128.8438902,35.34101559
마마22aa06aa,0,0,0,0,,,0,0,,128.8439275,35.3432692
마마22aa06ab,0,0,0,0,,,0,0,,128.8439649,35.34552281
마마22aa06ba,0,0,0,0,,,0,0,,128.8440022,35.34777642
마마22aa06bb,0,0,0,0,,,0,0,,128.8440395,35.35003003
마마22aa07aa,0,0,0,0,,,0,0,,128.8440769,35.35228363
마마22aa07ab,1,0,0,0,,,0,0,,128.8441142,35.35453724
마마22aa07ba,0,0,0,0,,,0,0,28.0,128.8441516,35.35679084
마마22aa07bb,8,0,0,0,,0.0,0,0,,128.8441889,35.35904445
마마22aa08aa,0,0,0,0,,,0,0,,128.8442263,35.36129805
마마22aa08ab,0,0,0,0,,,0,0,,128.8442636,35.36355166
마마22aa08ba,0,0,0,0,,,0,0,,128.844301,35.36580526
마마22aa08bb,2,0,0,0,,0.0,0,0,,128.8443384,35.36805886
마마22aa09aa,0,0,0,0,,,0,0,,128.8443757,35.37031246
마마22aa09ab,3,0,0,0,,0.0,0,0,,128.8444131,35.37256606
마마22aa09ba,20,0,0,0,,0.0,0,0,,128.8444505,35.37481966
마마22aa09bb,10,0,0,0,,,0,0,,128.8444879,35.37707326
마마22aa10aa,0,0,0,0,,9.0,0,0,,128.8445253,35.37932685
마마22aa10ab,0,0,0,0,,,0,0,,128.8445627,35.38158045
마마22aa10ba,0,0,0,0,,,0,0,,128.8446001,35.38383404
마마22aa10bb,0,0,0,0,,0.0,0,0,,128.8446375,35.38608764
마마22aa11aa,0,0,0,0,,,0,0,,128.8446749,35.38834123
마마22ab00aa,16,0,0,0,,0.0,0,0,,128.8457815,35.28915174
마마22ab00ab,24,0,0,0,,28.000000000000004,0,0,,128.8458188,35.29140537
마마22ab00ba,1,0,0,0,,0.0,0,0,,128.8458561,35.293659
마마22ab00bb,4,0,0,0,,7.000000000000001,0,0,,128.8458934,35.29591262
마마22ab01aa,5,0,0,0,,0.0,0,0,,128.8459307,35.29816625
마마22ab01ab,6,0,0,0,,6.0,0,0,,128.8459681,35.30041987
마마22ab01ba,0,0,0,0,,,0,0,,128.8460054,35.3026735
마마22ab01bb,0,0,0,0,,,0,0,,128.8460427,35.30492712
마마22ab02aa,0,0,0,0,,,0,0,,128.8460801,35.30718074
마마22ab02ab,0,0,0,0,,,0,0,,128.8461174,35.30943436
마마22ab02ba,0,0,0,0,,,0,0,,128.8461547,35.31168799
마마22ab02bb,0,0,0,0,,,0,0,,128.8461921,35.3139416
마마22ab03aa,0,0,0,0,,,0,0,,128.8462294,35.31619522
마마22ab03ab,1,0,0,0,,,0,0,,128.8462668,35.31844884
마마22ab03ba,37,0,0,0,,0.0,0,0,,128.8463042,35.32070246
마마22ab03bb,32,0,0,0,,0.0,0,0,,128.8463415,35.32295608
마마22ab04aa,20,0,0,0,,79.0,0,0,,128.8463789,35.32520969
마마22ab04ab,0,0,0,0,,7.000000000000001,0,0,,128.8464163,35.32746331
마마22ab04ba,16,0,0,0,,8.0,0,0,,128.8464536,35.32971692
마마22ab04bb,13,0,0,1,,20.0,0,0,22.26228324,128.846491,35.33197053
마마22ab05aa,34,2,0,1,,13.0,0,0,,128.8465284,35.33422414
마마22ab05ab,12,0,0,0,,0.0,0,0,,128.8465658,35.33647775
마마22ab05ba,14,0,0,0,,0.0,0,0,,128.8466032,35.33873136
