gid,건물1,건물2,건물3,행정기관,도서관,주차구획수_sum,경제인구,전기차와충전소_전처리_결과_전기차,전기차와충전소_전처리_결과_충전소,김해_차량평균속도_avg_speed
마라12ab92bb,0,0,0,0,0,,,0,0,
마라12ab93aa,0,0,0,0,0,,,0,0,
마라12ab93ab,0,0,0,0,0,,,0,0,
마라12ab93ba,1,0,0,0,0,,,0,0,
마라12ab93bb,0,0,0,0,0,,,0,0,
마라12ab94aa,0,0,0,0,0,,,0,0,
마라12ab94ab,0,0,0,0,0,,,0,0,
마라12ab94ba,0,0,0,0,0,,,0,0,
마라12ab94bb,0,0,0,0,0,,,0,0,
마라12ab95aa,0,0,0,0,0,,,0,0,
마라12ab95ab,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12ab95ba,0,0,0,0,0,,,0,0,
마라12ab95bb,2,0,0,0,0,,,0,0,
마라12ab96aa,0,0,0,0,0,,,0,0,
마라12ab96ab,4,0,0,0,0,,8.0000000000000000000000000000000,0,0,
마라12ab96ba,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12ab96bb,0,0,0,0,0,,,0,0,
마라12ab97aa,0,0,0,0,0,,,0,0,
마라12ab97ab,0,0,0,0,0,,,0,0,
마라12ab97ba,0,0,0,0,0,,,0,0,
마라12ab97bb,0,0,0,0,0,,,0,0,
마라12ab98aa,0,0,0,0,0,,,0,0,
마라12ab98ab,2,0,0,0,0,,,0,0,
마라12ab98ba,1,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12ab98bb,2,0,0,0,0,,,0,0,
마라12ab99aa,0,0,0,0,0,,,2,0,
마라12ab99ab,0,0,0,0,0,,,0,0,
마라12ab99ba,1,0,0,0,0,,,0,0,
마라12ab99bb,0,0,0,0,0,,,0,0,
마라12ba90ba,0,0,0,0,0,,,0,0,
마라12ba90bb,0,0,0,0,0,,,0,0,
마라12ba91aa,0,0,0,0,0,,,0,0,
마라12ba91ab,0,0,0,0,0,,,0,0,
마라12ba91ba,0,0,0,0,0,,,0,0,
마라12ba91bb,0,0,0,0,0,,,0,0,
마라12ba92aa,0,0,0,0,0,,,0,0,
마라12ba92ab,0,0,0,0,0,,,0,0,
마라12ba92ba,0,0,0,0,0,,,0,0,
마라12ba92bb,0,0,0,0,0,,,0,0,
마라12ba93aa,0,0,0,0,0,,,0,0,
마라12ba93ab,0,0,0,0,0,,,0,0,
마라12ba93ba,0,0,0,0,0,,,0,0,
마라12ba93bb,0,0,0,0,0,,,0,0,
